epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1235.87,0.71584,1.60425,0.8484,0.52661,0.88465,0.64223,0.55509,0.53014,1.34879,0.80196,0.000661202,0.000661202,0.000661202
2,3000.51,0.59429,1.01431,0.81523,0.52116,0.86884,0.52876,0.46158,0.52575,1.53015,0.80747,0.00128405,0.00128405,0.00128405
3,3441.89,0.56838,0.93051,0.816,0.48087,0.87907,0.51362,0.45099,0.51529,2.1577,0.80813,0.0018629,0.0018629,0.0018629
4,3880.98,0.58287,0.87643,0.81488,0.50666,0.97814,0.53491,0.48081,0.43671,1.20608,0.79301,0.001802,0.001802,0.001802
5,4329.72,0.56669,0.88861,0.81254,0.50514,0.97141,0.70422,0.64195,0.40672,0.96661,0.79034,0.001736,0.001736,0.001736
6,4780.66,0.54172,0.84514,0.8096,0.51307,0.94233,0.63342,0.58113,0.39979,0.97331,0.79068,0.00167,0.00167,0.00167
7,5776.85,0.52175,0.81872,0.80655,0.51542,0.94233,0.64177,0.57821,0.45268,1.06572,0.802,0.001604,0.001604,0.001604
8,6265.33,0.53443,0.85308,0.80852,0.5116,0.98372,0.64699,0.5685,0.55784,1.29534,0.81191,0.001538,0.001538,0.001538
9,6719.27,0.50878,0.83195,0.80553,0.53679,0.92007,0.71502,0.65978,0.39378,0.94084,0.78883,0.001472,0.001472,0.001472
10,7111.76,0.49657,0.78195,0.80364,0.54609,0.9065,0.71377,0.62467,0.50896,0.87912,0.80188,0.001406,0.001406,0.001406
11,7499.37,0.50488,0.80471,0.8028,0.53779,0.88977,0.59078,0.54693,0.38962,0.99738,0.78802,0.00134,0.00134,0.00134
12,7875.42,0.4979,0.75146,0.80325,0.52416,0.92419,0.64448,0.59281,0.40987,0.93669,0.79049,0.001274,0.001274,0.001274
13,8252.33,0.49667,0.78264,0.80414,0.55119,0.88047,0.72755,0.68277,0.3595,0.90127,0.78562,0.001208,0.001208,0.001208
14,8644.34,0.4869,0.74391,0.80345,0.51485,0.9414,0.73378,0.67815,0.39219,0.9124,0.78877,0.001142,0.001142,0.001142
15,9020.07,0.48943,0.75916,0.80244,0.53437,0.92185,0.72835,0.68798,0.37272,0.98535,0.78612,0.001076,0.001076,0.001076
16,9401.46,0.46923,0.73959,0.79939,0.55321,0.85522,0.60736,0.56642,0.37258,0.96658,0.78594,0.00101,0.00101,0.00101
17,9823.52,0.46579,0.73624,0.79741,0.53823,0.93626,0.76452,0.71599,0.35731,1.06401,0.78459,0.000944,0.000944,0.000944
18,10331.4,0.47205,0.71073,0.79822,0.51836,0.92186,0.73563,0.68961,0.37149,0.82805,0.78523,0.000878,0.000878,0.000878
19,10868.5,0.46036,0.70532,0.79853,0.53418,0.88648,0.74392,0.70071,0.36125,0.86841,0.78547,0.000812,0.000812,0.000812
20,11307.4,0.45826,0.71244,0.79668,0.53799,0.90744,0.71615,0.68117,0.33489,0.86149,0.78144,0.000746,0.000746,0.000746
21,11684.2,0.45247,0.76425,0.79363,0.53433,0.90193,0.74384,0.70558,0.35356,0.85955,0.78359,0.00068,0.00068,0.00068
22,12103.8,0.44132,0.7575,0.79387,0.52102,0.93951,0.7202,0.66378,0.4245,0.90236,0.79414,0.000614,0.000614,0.000614
23,12612.2,0.44362,0.75739,0.79696,0.55328,0.89023,0.76336,0.72106,0.34882,0.81222,0.78278,0.000548,0.000548,0.000548
24,14036.6,0.42791,0.76682,0.79289,0.54127,0.88194,0.68314,0.65197,0.33258,0.85297,0.7815,0.000482,0.000482,0.000482
25,14603.9,0.43019,0.74426,0.7916,0.56506,0.87256,0.7646,0.72069,0.35713,0.80315,0.78497,0.000416,0.000416,0.000416
26,15036.2,0.41288,0.79452,0.79003,0.55625,0.87442,0.77299,0.7364,0.33611,0.82461,0.78177,0.00035,0.00035,0.00035
27,15470.7,0.41318,0.71851,0.78913,0.54573,0.88956,0.76816,0.73211,0.32479,0.77235,0.78022,0.000284,0.000284,0.000284
28,15915.5,0.40947,0.70887,0.78786,0.56851,0.84605,0.76401,0.72701,0.33097,0.80011,0.7807,0.000218,0.000218,0.000218
29,16345.7,0.40829,0.70065,0.78734,0.57751,0.86372,0.77175,0.73934,0.32347,0.76727,0.77961,0.000152,0.000152,0.000152
30,16785.7,0.40329,0.74196,0.79051,0.61739,0.79488,0.7792,0.74272,0.32842,0.78471,0.78093,8.6e-05,8.6e-05,8.6e-05
