epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2418.74,0.4487,0.73573,0.81934,0.68133,0.76277,0.7719,0.71892,0.36565,0.70529,0.79946,0.00098525,0.00098525,0.00098525
43,2453.18,0.44427,0.73244,0.81923,0.64714,0.84485,0.73978,0.69267,0.35423,0.70043,0.79393,0.0009605,0.0009605,0.0009605
44,2486.46,0.44627,0.7184,0.81873,0.67878,0.7861,0.7952,0.74412,0.35252,0.68788,0.795,0.00093575,0.00093575,0.00093575
45,2519.93,0.45274,0.74967,0.8216,0.63619,0.80672,0.74196,0.69071,0.37049,0.71771,0.79768,0.000911,0.000911,0.000911
46,2553.34,0.44474,0.74296,0.81938,0.68868,0.80367,0.80375,0.75324,0.35031,0.67856,0.79321,0.00088625,0.00088625,0.00088625
47,2587.04,0.44397,0.73425,0.8212,0.59759,0.85332,0.77607,0.72509,0.35655,0.79187,0.79539,0.0008615,0.0008615,0.0008615
48,2620.65,0.44002,0.68078,0.81651,0.68635,0.80443,0.79747,0.74523,0.35712,0.79244,0.79539,0.00083675,0.00083675,0.00083675
49,2653.95,0.44689,0.71974,0.81793,0.67743,0.72956,0.76232,0.70934,0.37175,0.71305,0.80059,0.000812,0.000812,0.000812
50,2687.2,0.44579,0.71285,0.81911,0.63179,0.81895,0.75115,0.69381,0.38902,0.71551,0.80492,0.00078725,0.00078725,0.00078725
51,2720.71,0.44122,0.74312,0.81962,0.65418,0.77235,0.7864,0.73793,0.35066,0.73947,0.7935,0.0007625,0.0007625,0.0007625
52,2754.33,0.44146,0.71237,0.81828,0.64606,0.7479,0.75986,0.71354,0.34855,0.71366,0.7921,0.00073775,0.00073775,0.00073775
53,2787.75,0.4441,0.72026,0.81646,0.66446,0.77908,0.79082,0.73836,0.34747,0.78441,0.79346,0.000713,0.000713,0.000713
54,2821.5,0.44298,0.73394,0.82063,0.67318,0.79832,0.79666,0.74625,0.34897,0.74556,0.79405,0.00068825,0.00068825,0.00068825
55,2855.31,0.43981,0.72651,0.8195,0.68577,0.79359,0.79136,0.73335,0.38078,0.70939,0.80394,0.0006635,0.0006635,0.0006635
56,2888.74,0.43132,0.73208,0.81535,0.69694,0.74484,0.801,0.74798,0.35212,0.67276,0.79389,0.00063875,0.00063875,0.00063875
57,2922.63,0.43456,0.69292,0.81502,0.72556,0.74931,0.79556,0.74608,0.34441,0.71539,0.79135,0.000614,0.000614,0.000614
58,2955.98,0.43218,0.67855,0.81538,0.68235,0.78304,0.78203,0.7314,0.35052,0.68246,0.79355,0.00058925,0.00058925,0.00058925
59,2989.6,0.43365,0.6836,0.81543,0.6811,0.7395,0.79614,0.74835,0.33619,0.71312,0.78889,0.0005645,0.0005645,0.0005645
60,3023.01,0.43002,0.68177,0.81501,0.60794,0.81818,0.78504,0.73221,0.35205,0.7323,0.79367,0.00053975,0.00053975,0.00053975
61,3067.87,0.43258,0.69783,0.81646,0.64467,0.81054,0.77428,0.72779,0.3443,0.69821,0.79326,0.000515,0.000515,0.000515
62,3146.09,0.42809,0.66823,0.81414,0.65556,0.83193,0.76737,0.71865,0.35497,0.71062,0.7941,0.00049025,0.00049025,0.00049025
63,3219.52,0.43569,0.69949,0.81718,0.71,0.76471,0.80551,0.75219,0.35441,0.73246,0.79465,0.0004655,0.0004655,0.0004655
64,3291.74,0.41982,0.66035,0.81418,0.71202,0.74609,0.79903,0.74672,0.35062,0.68881,0.79376,0.00044075,0.00044075,0.00044075
65,3362.63,0.42364,0.6922,0.81406,0.68824,0.78085,0.78884,0.73834,0.35437,0.64814,0.79528,0.000416,0.000416,0.000416
66,3432.87,0.42242,0.67961,0.81302,0.6962,0.75477,0.80634,0.75485,0.3427,0.66742,0.79095,0.00039125,0.00039125,0.00039125
67,3502.83,0.42128,0.65951,0.81312,0.70793,0.77005,0.79573,0.74739,0.34507,0.7466,0.79206,0.0003665,0.0003665,0.0003665
68,3572.6,0.42571,0.68387,0.81128,0.67361,0.75859,0.77908,0.73196,0.33642,0.69381,0.78886,0.00034175,0.00034175,0.00034175
