epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,568.196,0.52992,0.8392,0.82086,0.57553,0.80749,0.72532,0.6712,0.37526,1.04278,0.78279,0.000662651,0.000662651,0.000662651
2,1138.54,0.52797,0.82418,0.81536,0.54688,0.81283,0.7084,0.64567,0.42088,0.87526,0.79089,0.00126352,0.00126352,0.00126352
3,1738.02,0.53172,0.83649,0.81775,0.57661,0.80367,0.69005,0.61222,0.46839,0.91563,0.8008,0.00179838,0.00179838,0.00179838
4,2367.42,0.53347,0.85727,0.81998,0.60027,0.82124,0.72169,0.66382,0.40525,0.87421,0.78582,0.001703,0.001703,0.001703
5,2960.75,0.51756,0.83914,0.81769,0.5513,0.83117,0.67897,0.6209,0.40645,1.03872,0.78952,0.001604,0.001604,0.001604
6,3578.53,0.51153,0.82466,0.81614,0.58963,0.82506,0.70674,0.6464,0.39721,0.94079,0.7885,0.001505,0.001505,0.001505
7,4084.88,0.51348,0.79929,0.81601,0.59367,0.78915,0.74946,0.69151,0.38666,0.80583,0.78448,0.001406,0.001406,0.001406
8,4592.81,0.50141,0.82871,0.81121,0.56596,0.82735,0.68652,0.62419,0.42047,0.88252,0.78913,0.001307,0.001307,0.001307
9,5102.75,0.49092,0.81982,0.81184,0.61116,0.8465,0.73596,0.68726,0.35685,0.92974,0.78143,0.001208,0.001208,0.001208
10,5670.66,0.49257,0.81685,0.81191,0.58904,0.85791,0.73084,0.66392,0.43504,0.79353,0.79171,0.001109,0.001109,0.001109
11,6163.37,0.47676,0.83874,0.8093,0.57331,0.89152,0.69205,0.64124,0.36995,0.81747,0.7848,0.00101,0.00101,0.00101
12,6661.66,0.47376,0.80512,0.80851,0.58151,0.82888,0.68472,0.63043,0.39374,0.79367,0.78677,0.000911,0.000911,0.000911
13,7165.6,0.46258,0.82219,0.80786,0.58893,0.86793,0.74393,0.68851,0.3808,0.74651,0.78474,0.000812,0.000812,0.000812
14,7669.99,0.46368,0.86727,0.80666,0.63177,0.83575,0.76103,0.70602,0.36966,0.97808,0.78395,0.000713,0.000713,0.000713
15,8170.75,0.45259,0.82515,0.80545,0.60807,0.78915,0.76697,0.71628,0.36964,0.78957,0.78174,0.000614,0.000614,0.000614
16,8674.22,0.44742,0.81266,0.80437,0.58299,0.82047,0.74319,0.69208,0.3692,0.78276,0.78535,0.000515,0.000515,0.000515
17,9177.11,0.44296,0.77869,0.80204,0.66022,0.80305,0.77536,0.72671,0.35016,0.74169,0.77936,0.000416,0.000416,0.000416
18,9721.45,0.43691,0.76902,0.8011,0.65578,0.76241,0.75287,0.70209,0.36193,0.74813,0.78072,0.000317,0.000317,0.000317
19,10231.2,0.43133,0.77954,0.80029,0.6894,0.7563,0.7778,0.72717,0.3649,0.80724,0.78064,0.000218,0.000218,0.000218
20,10745,0.4239,0.76163,0.79911,0.67578,0.79756,0.78844,0.74095,0.35356,0.71443,0.78007,0.000119,0.000119,0.000119
